StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,MTurkID,humanLike_bot_1,timer_humanLike_bot_First Click,timer_humanLike_bot_Last Click,timer_humanLike_bot_Page Submit,timer_humanLike_bot_Click Count,feeling_bot_1,timer_feeling_bot_First Click,timer_feeling_bot_Last Click,timer_feeling_bot_Page Submit,timer_feeling_bot_Click Count,trust_bot_1,timer_trust_bot_First Click,timer_trust_bot_Last Click,timer_trust_bot_Page Submit,timer_trust_bot_Click Count,pleasant_bot_1,timer_pleasant_bot_First Click,timer_pleasant_bot_Last Click,timer_pleasant_bot_Page Submit,timer_pleasant_bot_Click Count,attention_bot_1,timer_attention_bot_First Click,timer_attention_bot_Last Click,timer_attention_bot_Page Submit,timer_attention_bot_Click Count,familiarity_bot,timer_familiarity_bo_First Click,timer_familiarity_bo_Last Click,timer_familiarity_bo_Page Submit,timer_familiarity_bo_Click Count,humanLike_metal_1,timer_humanLike_met_First Click,timer_humanLike_met_Last Click,timer_humanLike_met_Page Submit,timer_humanLike_met_Click Count,feeling_metal_1,timer_feeling_met_First Click,timer_feeling_met_Last Click,timer_feeling_met_Page Submit,timer_feeling_met_Click Count,trust_metal_1,timer_trust_met_First Click,timer_trust_met_Last Click,timer_trust_met_Page Submit,timer_trust_met_Click Count,pleasant_metal_1,timer_pleasant_met_First Click,timer_pleasant_met_Last Click,timer_pleasant_met_Page Submit,timer_pleasant_met_Click Count,familiarity_metal,timer_familiarity_mt_First Click,timer_familiarity_mt_Last Click,timer_familiarity_mt_Page Submit,timer_familiarity_mt_Click Count,humanLike_toon_1,timer_humanLike_tn_First Click,timer_humanLike_tn_Last Click,timer_humanLike_tn_Page Submit,timer_humanLike_tn_Click Count,feeling_toon_1,timer_feeling_tn_First Click,timer_feeling_tn_Last Click,timer_feeling_tn_Page Submit,timer_feeling_tn_Click Count,trust_toon_1,timer_trust_tn_First Click,timer_trust_tn_Last Click,timer_trust_tn_Page Submit,timer_trust_tn_Click Count,pleasant_toon_1,timer_pleasant_tn_First Click,timer_pleasant_tn_Last Click,timer_pleasant_tn_Page Submit,timer_pleasant_tn_Click Count,familiarity_toon,timer_familiarity_tn_First Click,timer_familiarity_tn_Last Click,timer_familiarity_tn_Page Submit,timer_familiarity_tn_Click Count,humanLike_uncanny_1,timer_humanLike_uc_First Click,timer_humanLike_uc_Last Click,timer_humanLike_uc_Page Submit,timer_humanLike_uc_Click Count,feeling_uncanny_1,timer_feeling_uc_First Click,timer_feeling_uc_Last Click,timer_feeling_uc_Page Submit,timer_feeling_uc_Click Count,trust_uncanny_1,timer_trust_uc_First Click,timer_trust_uc_Last Click,timer_trust_uc_Page Submit,timer_trust_uc_Click Count,pleasant_uncanny_1,timer_pleasant_uc_First Click,timer_pleasant_uc_Last Click,timer_pleasant_uc_Page Submit,timer_pleasant_uc_Click Count,attention_uc_1,timer_attention_uc_First Click,timer_attention_uc_Last Click,timer_attention_uc_Page Submit,timer_attention_uc_Click Count,familiarity_uncanny,timer_familiarity_uc_First Click,timer_familiarity_uc_Last Click,timer_familiarity_uc_Page Submit,timer_familiarity_uc_Click Count,humanLike_human1_1,timer_humanLike_h1_First Click,timer_humanLike_h1_Last Click,timer_humanLike_h1_Page Submit,timer_humanLike_h1_Click Count,feeling_human1_1,timer_feeling_h1_First Click,timer_feeling_h1_Last Click,timer_feeling_h1_Page Submit,timer_feeling_h1_Click Count,trust_human1_1,timer_trust_h1_First Click,timer_trust_h1_Last Click,timer_trust_h1_Page Submit,timer_trust_h1_Click Count,pleasant_human1_1,timer_pleasant_h1_First Click,timer_pleasant_h1_Last Click,timer_pleasant_h1_Page Submit,timer_pleasant_h1_Click Count,familiarity_human1,timer_familiarity_h1_First Click,timer_familiarity_h1_Last Click,timer_familiarity_h1_Page Submit,timer_familiarity_h1_Click Count,humanLike_human2_1,timer_humanLike_h2_First Click,timer_humanLike_h2_Last Click,timer_humanLike_h2_Page Submit,timer_humanLike_h2_Click Count,feeling_human2_1,timer_feeling_h2_First Click,timer_feeling_h2_Last Click,timer_feeling_h2_Page Submit,timer_feeling_h2_Click Count,trust_human2_1,timer_trust_h2_First Click,timer_trust_h2_Last Click,timer_trust_h2_Page Submit,timer_trust_h2_Click Count,pleasant_human2_1,timer_pleasant_h2_First Click,timer_pleasant_h2_Last Click,timer_pleasant_h2_Page Submit,timer_pleasant_h2_Click Count,attention_h2_1,timer_attention_h2_First Click,timer_attention_h2_Last Click,timer_attention_h2_Page Submit,timer_attention_h2_Click Count,familiarity_human2,timer_familiarity_h2_First Click,timer_familiarity_h2_Last Click,timer_familiarity_h2_Page Submit,timer_familiarity_h2_Click Count,age,gender,ethnicity,state,zip,education,income,experience,feedback,timer_demographics_First Click,timer_demographics_Last Click,timer_demographics_Page Submit,timer_demographics_Click Count,fCounter,showup_fee,bonus,Completion_Code,randNum_bot,randNum_uc,randNum_human,eosText,validation_bot,validation_uc,validation_human,completedSurvey,payment,workerID,hitID,assignmentID,character,head,passedCheck,excluded
21-04-21 18:03,21-04-21 18:06,IP Address,173.69.47.115,100,184,TRUE,21-04-21 18:06,R_28LGGI943adEK2F,41.87399292,-71.38439941,anonymous,EN,A2KHMKJUVDMK1N,14,2.999,2.999,3.54,1,0,3.72,3.72,4.542,1,29,2.66,2.66,3.548,1,8,1.645,2.173,2.912,2,-6,2.675,2.675,3.634,1,No,2.367,2.367,3.077,1,23,1.356,2.703,3.379,2,10,1.214,1.214,1.965,1,3,1.388,1.388,2.348,1,9,1.283,1.283,2.142,1,No,0.849,0.849,1.513,1,39,1.931,1.931,2.591,1,41,1.631,1.631,2.178,1,36,1.495,1.495,2.145,1,48,1.581,1.581,2.34,1,No,1.248,1.248,1.914,1,9,1.167,1.167,1.837,1,10,1.256,1.256,2.146,1,-2,1.406,1.406,2.084,1,4,1.161,1.161,1.927,1,-21,2.333,2.333,3.238,1,No,0.812,0.812,1.459,1,41,1.268,2.354,3.019,2,31,1.583,1.583,2.304,1,51,1.376,1.376,2.008,1,34,1.213,1.698,1.959,2,No,0.84,0.84,2.511,1,74,1.728,1.728,2.74,1,61,1.816,1.816,2.467,1,59,1.752,1.752,2.316,1,60,1.6,1.6,2.607,1,97,1.583,5.307,6.339,2,No,1.1,1.1,2.027,1,33,Male,White,Rhode Island,2865,4-year degree (Bachelor's),"$20,000-$29,999",Slightly positive,Some of the faces seemed distorted.,2.804,4.673,12.73,3,6,0.5,1,754835,-6,-21,97,"You have answered all of the attention check questions correctly. Therefore, you will receive a bonus!",TRUE,TRUE,TRUE,TRUE,1.5,A2KHMKJUVDMK1N,31N9JPQXIPQ6FS6TN49HJXACA8YNH5,3RGU30DZTBGZB0DCP5246FXD5QHMJU,Sophia,<center> <b> End of Survey </b></center>,TRUE,No
21-04-21 18:00,21-04-21 18:07,IP Address,191.96.100.97,100,410,TRUE,21-04-21 18:07,R_1IWczwY8gkMFYar,38.89390564,-77.03649902,anonymous,EN,A2CHKF2A6F4MIX,-100,2.026,2.026,2.997,1,-64,3.652,3.652,4.567,1,-76,4.462,4.462,5.249,1,-53,1.857,1.857,3.219,1,-3,7.531,7.531,9.262,1,No,2.464,2.464,3.221,1,-76,8.099,8.099,9.143,1,63,2.596,4.925,5.689,4,45,2.791,5.301,6.065,2,46,4.4,4.4,5.26,1,No,3.055,3.055,3.796,1,-46,7.691,7.691,8.799,1,43,4.812,4.812,5.661,1,55,3.926,3.926,4.954,1,66,2.977,4.889,5.973,2,No,3.875,3.875,5.208,1,-14,6.645,6.645,7.409,1,-23,3.051,3.051,4.014,1,-33,2.075,2.075,3.446,1,-57,3.123,6.962,7.822,4,10,12.47,12.47,13.617,1,No,3.49,3.49,4.367,1,22,4.988,4.988,5.791,1,6,2.277,3.301,4.112,2,-26,4.454,4.454,5.713,1,9,2.323,3.333,4.247,2,No,1.228,1.228,2.4,1,39,11.227,11.227,12.118,1,32,3.285,3.285,4.104,1,23,2.394,2.394,3.317,1,34,1.871,1.871,2.466,1,44,4.596,4.596,5.575,1,No,1.158,1.158,1.924,1,37,Female,White,Wisconsin,54952,Graduate or professional degree,"$60,000-$69,999",Extremely positive,During this study everything was very clear,3.764,40.827,43.024,3,6,0.5,1,852854,-3,10,44,"You have answered all of the attention check questions correctly. Therefore, you will receive a bonus!",TRUE,TRUE,TRUE,TRUE,1.5,A2CHKF2A6F4MIX,32K26U12DNW2BHA03ZCI2TPR4J7DV3,3AMYWKA6YCUBN8JHI2NSPFHDEKC6ON,Sophia,<center> <b> End of Survey </b></center>,TRUE,No
21-04-21 18:07,21-04-21 18:10,IP Address,73.72.4.111,100,230,TRUE,21-04-21 18:10,R_3F3B2GhWLDUG7s5,41.90249634,-87.67259979,anonymous,EN,ASVU8IUWURJTW,-99,1.479,2.34,3.132,2,0,1.963,4.952,5.682,4,53,2.621,3.362,3.891,2,-8,2.558,4.337,5.088,3,38,5.661,6.485,7.043,2,No,2.006,2.006,2.735,1,-86,1.144,2.689,5.158,2,0,3.268,4.138,4.679,2,23,2.288,3.227,3.877,2,-31,2.25,3.06,3.508,2,No,1.949,1.949,3.813,1,-30,3.441,4.206,4.631,2,0,4.184,4.184,5.605,1,30,3.376,3.376,4.257,1,-9,4.837,7.831,8.654,2,No,1.493,1.493,2.076,1,-27,2.271,3.594,4.454,2,-16,2.227,2.227,3.148,1,8,3.83,3.83,4.64,1,-48,2.18,3.042,3.654,2,-56,5.121,6.09,7.166,2,No,1.451,1.451,2.082,1,-90,3.256,3.256,4.836,1,3,4.336,6.248,7.164,2,40,2.452,3.651,4.251,2,8,1.835,1.835,2.426,1,No,1.714,1.714,2.385,1,100,2.69,3.396,5.289,2,86,3.288,6.136,6.801,3,61,2.478,2.478,3.163,1,78,2.526,2.928,3.514,2,-20,3.61,3.61,4.447,1,No,1.717,1.717,2.233,1,29,Female,White,Illinois,60302,Graduate or professional degree,"$70,000-$79,999",positive,no,2.765,4.224,5.475,2,6,0.5,1,570536,38,-56,-20,"You have answered all of the attention check questions correctly. Therefore, you will receive a bonus!",TRUE,TRUE,TRUE,TRUE,1.5,ASVU8IUWURJTW,3L84EBDQ37AW9CMYWCKY4X908UXKK1,3R5F3LQFV3SDBI3SK7K3MDA8JO9ZO7,Alter,<center> <b> End of Survey </b></center>,TRUE,No
21-04-21 18:06,21-04-21 18:11,IP Address,71.112.211.171,100,312,TRUE,21-04-21 18:11,R_RJNptBGwpnHeE0N,40.37750244,-79.96130371,anonymous,EN,A2IOT3PCS9G5RK,-100,1.148,1.148,2.235,1,21,2.176,2.176,2.972,1,0,2.831,2.831,3.686,1,0,2.629,2.629,3.513,1,-71,2.501,20.075,21.98,13,No,5.302,5.302,6.309,1,-96,0.902,0.902,2.809,1,0,2.984,2.984,4.04,1,0,3.202,3.202,4.078,1,-39,2.393,2.393,3.246,1,No,1.602,1.602,2.652,1,-96,1.1,3.401,5.501,3,-18,2.9,2.9,3.836,1,-17,2.567,2.567,3.484,1,-41,4.621,5.634,6.654,2,No,1.701,1.701,2.769,1,-82,1.22,1.22,3.049,1,0,1.647,1.647,2.494,1,0,2.793,2.793,3.6,1,-22,3.145,3.145,4.074,1,-21,2.425,4.074,6.219,2,No,1.101,1.101,2.133,1,-70,5.401,8.16,9.965,3,0,2.984,2.984,4.3,1,77,3.227,6.461,7.983,2,64,2.372,2.372,3.471,1,No,5.801,5.801,8.127,1,65,3.602,4.841,5.726,2,63,1.97,1.97,2.786,1,82,2.02,3.113,3.975,2,85,1.701,2.558,3.768,2,-3,2.876,31.5,33.98,26,No,3.501,3.501,4.596,1,44,Male,White,Pennsylvania,15226,4-year degree (Bachelor's),"$60,000-$69,999",positive,Hard to get slider exact,2.802,19.124,20.51,4,6,0.5,1,154011,-71,-21,-3,"You have answered all of the attention check questions correctly. Therefore, you will receive a bonus!",TRUE,TRUE,TRUE,TRUE,1.5,A2IOT3PCS9G5RK,31MCUE39BKULBSI8LF7KPJ05QRUG3J,3JZQSN0I3RIJEOVUVCDOECLOGXPFGD,Kid,<center> <b> End of Survey </b></center>,TRUE,No
21-04-21 18:09,21-04-21 18:15,IP Address,107.77.198.189,100,344,TRUE,21-04-21 18:15,R_8ekb3tswpfrLZAJ,32.6875,-96.90409851,anonymous,EN,A2R89RXGEVG05I,-100,5.6,5.6,6.894,1,55,4.101,4.101,5.462,1,64,2.501,2.501,3.626,1,60,2.532,3.523,4.647,2,-96,6.59,6.59,13.858,1,No,2.959,2.959,3.558,1,-78,7.949,7.949,9.781,1,21,3.773,3.773,4.983,1,43,3.929,5.208,6.016,2,30,3.161,3.161,4.178,1,No,2.488,2.488,2.961,1,-40,13.073,13.073,17.713,1,-88,5.51,5.51,6.707,1,-98,5.23,5.23,6.761,1,-97,5.492,5.492,6.416,1,No,5.351,5.351,6.091,1,-49,5.472,5.472,6.368,1,-83,3.187,4.577,5.697,2,-97,2.868,2.868,3.936,1,-91,2.491,2.491,3.697,1,-53,5.05,6.957,12.294,2,No,3.813,3.813,5.247,1,43,4.539,5.546,6.33,2,-96,3.861,7.324,8.509,2,-94,2.945,2.945,4.167,1,-100,2.638,2.638,3.551,1,No,2.147,2.147,2.745,1,100,2.83,2.83,6.125,1,19,5.22,5.22,6.053,1,22,3.824,3.824,4.701,1,12,4.209,4.209,5.241,1,35,6.859,6.859,12.048,1,No,3.601,3.601,4.332,1,53,Female,White,Texas,77357,2-year degree (Associate's),"$40,000-$49,999",Slightly negative,Well...other than those strange faces...not really. Thank you.,3.949,6.525,33.813,2,6,0.5,1,915270,-96,-53,35,"You have answered all of the attention check questions correctly. Therefore, you will receive a bonus!",TRUE,TRUE,TRUE,TRUE,1.5,A2R89RXGEVG05I,3A9LA2FRWSMBRMKXPAWQHZ1ACM8HXJ,3WQQ9FUS6B2E8SDW7CF439D5DGKB8B,Sophia,<center> <b> End of Survey </b></center>,TRUE,No
21-04-21 18:11,21-04-21 18:16,IP Address,216.41.251.53,100,317,TRUE,21-04-21 18:16,R_2azPiB56tMLqZ0W,36.56860352,-82.18190002,anonymous,EN,A368T0DC93NH65,-100,1.738,4.798,6.336,2,0,1.711,4.384,5.645,2,0,1.434,3.201,4.317,2,0,1.263,3.289,4.339,2,57,2.322,9.6,11.042,4,No,2.6,3.931,4.937,2,-91,1.834,5.089,6.379,3,0,1.791,3.993,4.909,2,0,2.458,4.25,5.164,2,0,2.037,3.801,5.029,2,No,2.735,4.065,5.086,2,-89,5.495,10.629,11.846,3,0,3.331,6.922,8.2,3,0,3.158,6.042,7.248,3,-33,4.068,7.721,8.827,3,No,3.859,5.139,6.308,2,100,1.88,5.545,7.071,3,0,2.047,4.223,5.411,2,0,0.919,4.05,5.217,3,0,1.526,3.49,4.715,2,40,1.639,5.828,7.487,2,No,2.387,3.68,4.847,2,100,1.496,5.682,6.888,3,36,3.693,7.784,9.162,2,45,1.456,4.676,5.528,3,59,1.143,3.952,4.956,2,No,1.425,2.817,3.837,2,100,1.291,3.991,5.591,2,57,1.943,4.915,7.385,2,57,1.323,3.426,4.419,2,56,1.454,3.184,4.283,2,11,2.124,5.394,7.413,2,No,2.084,3.376,4.308,2,38,Female,White,Tennessee,37606,Some college,"$30,000-$39,999",Neutral,No,2.692,6.699,9.792,4,6,0.5,1,656138,57,40,11,"You have answered all of the attention check questions correctly. Therefore, you will receive a bonus!",TRUE,TRUE,TRUE,TRUE,1.5,A368T0DC93NH65,3HXK2V1N4KNWQAMPHFTF69VDKDUG28,38YMOXR4MV7JSHSJ9OE269UZHMC6W0,CreepyGirl,<center> <b> End of Survey </b></center>,TRUE,No
21-04-21 18:13,21-04-21 18:17,IP Address,24.231.254.26,100,261,TRUE,21-04-21 18:18,R_1YcKo6QKjiAmQPT,42.98590088,-85.07099915,anonymous,EN,A1F5OIJZUEP958,-100,2.399,2.399,3.524,1,0,2.722,2.722,3.422,1,0,1.881,1.881,3.499,1,-20,6.999,6.999,7.984,1,10,3.952,3.952,5.416,1,No,2.663,3.009,3.46,2,-60,9.991,9.991,11.007,1,0,3.871,3.871,4.631,1,0,3.097,3.097,4.174,1,-40,6.123,6.123,7.905,1,No,3.817,3.817,4.536,1,-60,13.071,13.071,14.805,1,0,2.286,3.01,3.789,2,0,1.767,4.393,5.176,2,-25,7.617,7.617,8.355,1,No,2.369,2.369,3.43,1,20,7.439,7.439,8.486,1,-100,2.438,2.438,3.262,1,-80,4.623,4.623,5.24,1,-100,2.437,2.437,3.254,1,11,7.297,7.297,8.645,1,No,2.447,2.447,3.215,1,100,3.284,3.284,4.307,1,100,2.509,2.509,3.115,1,0,3.235,3.235,4.359,1,50,5.085,5.085,5.86,1,No,1.662,1.662,2.396,1,100,2.015,2.015,2.481,1,50,3.773,3.773,5.445,1,50,3.541,4.483,5.122,2,60,3.273,3.273,3.928,1,-63,9.657,9.657,11.145,1,No,1.896,1.896,2.959,1,28,Female,White,Michigan,48846,"High school or equivalent (e.g., GED)","$30,000-$39,999",Extremely positive,N/A,3.492,5.114,11.691,2,6,0.5,1,560907,10,11,-63,"You have answered all of the attention check questions correctly. Therefore, you will receive a bonus!",TRUE,TRUE,TRUE,TRUE,1.5,A1F5OIJZUEP958,3HXK2V1N4KNWQAMPHFTF69VDKDUG28,3H7Z272LX8FBRTYPK6693Y40EKYPLW,Saya,<center> <b> End of Survey </b></center>,TRUE,No
21-04-21 18:16,21-04-21 18:21,IP Address,73.43.229.30,100,323,TRUE,21-04-21 18:21,R_2QKx3dsuVws4wEr,33.91349792,-84.68589783,anonymous,EN,A2LAMCJLVCRQ4T,-100,1.194,1.194,5.946,1,-20,3.07,3.07,3.78,1,20,4.256,4.256,4.8,1,20,4.104,4.104,4.994,1,52,3.537,3.537,6.144,1,No,0.974,0.974,2.181,1,-90,5.292,6.365,13.085,2,-20,6.619,6.619,8.526,1,0,1.979,1.979,2.957,1,20,1.372,5.241,5.958,2,No,1.051,1.051,1.819,1,-80,2.668,2.668,4.048,1,-15,6.235,6.235,6.921,1,10,3.274,6.594,7.146,2,10,2.655,2.655,3.273,1,No,1.101,1.101,1.878,1,30,15.372,15.372,20.795,1,-20,5.432,5.432,6.228,1,50,2.65,4.932,5.76,2,0,2.741,2.741,3.641,1,21,5.824,5.824,10.144,1,No,1.984,1.984,2.816,1,-40,4.551,4.551,5.379,1,-20,2.255,2.255,2.973,1,40,3.805,3.805,4.572,1,0,1.983,1.983,2.82,1,No,1.419,1.419,2.436,1,40,1.179,3.295,5.043,3,20,4.927,4.927,5.611,1,50,3.198,3.198,3.846,1,10,2.958,2.958,3.574,1,26,3.273,3.273,7.375,1,No,1.598,1.598,2.442,1,34,Female,White,Georgia,30165,"High school or equivalent (e.g., GED)","$30,000-$39,999",Slightly positive,Not that I noticed.,3.306,14.684,19.121,4,6,0.5,1,858097,52,21,26,"You have answered all of the attention check questions correctly. Therefore, you will receive a bonus!",TRUE,TRUE,TRUE,TRUE,1.5,A2LAMCJLVCRQ4T,3XAOZ9UYRZZGEEY717YDV4PAYUPQ1W,30LSNF239V3D9LPDX5YKF54FM6C2I8,CreepyGirl,<center> <b> End of Survey </b></center>,TRUE,No
21-04-21 18:14,21-04-21 18:27,IP Address,75.129.191.23,100,763,TRUE,21-04-21 18:27,R_3EG3wofCRL8AIYq,42.26229858,-85.6147995,anonymous,EN,A3M0C5D28CCZCJ,-80,16.413,16.413,20.572,1,30,21.705,21.705,25.243,1,10,16.237,23.673,25.397,2,-50,8.975,8.975,13.102,1,-26,5.457,16.348,24.85,2,No,7.532,7.532,16.598,1,-95,16.703,16.703,19.686,1,5,12.376,12.376,14.87,1,-5,15.787,15.787,19.069,1,20,12.575,12.575,17.191,1,No,2.73,2.73,8.26,1,-35,14.583,14.583,16.383,1,10,8.972,8.972,14.328,1,-10,7.943,7.943,13.552,1,-20,10.527,10.527,14.842,1,No,6.488,6.488,8.046,1,20,13.911,13.911,17.822,1,15,19.938,19.938,21.996,1,5,10.882,10.882,12.214,1,10,8.702,8.702,11.643,1,-74,5.657,5.657,13.439,1,No,8.343,8.343,10.551,1,20,10.388,10.388,19.099,1,20,10.42,19.821,21.842,2,5,8.177,8.177,11.4,1,-10,9.625,9.625,13.141,1,No,6.162,6.162,10.854,1,70,14.955,14.955,20.014,1,55,15.963,15.963,18.47,1,25,13.891,13.891,19.759,1,50,7.303,7.303,16.017,1,-71,5.073,5.073,10.389,1,No,3.02,3.02,6.897,1,61,Female,White,Michigan,49024,Some college,"$70,000-$79,999",positive,Good attention check! I almost missed the negative sign on the first one!,10.419,30.473,92.333,3,6,0.5,1,303453,-26,-74,-71,"You have answered all of the attention check questions correctly. Therefore, you will receive a bonus!",TRUE,TRUE,TRUE,TRUE,1.5,A3M0C5D28CCZCJ,3FI30CQHVKROHUXFOVD4VBLSK54B63,3C5W7UE9CGY06KI169H5XO5SGOXMXJ,Sophia,<center> <b> End of Survey </b></center>,TRUE,No
21-04-21 18:27,21-04-21 18:32,IP Address,98.162.197.184,100,305,TRUE,21-04-21 18:32,R_OCrEQNb4e4Nfizn,35.62109375,-97.47570038,anonymous,EN,A1DL8I2TKBHO5A,-100,1.199,6.852,8.066,4,47,1.524,10.401,12.427,9,0,1.719,12.314,13.859,4,10,1.877,7.162,7.856,3,-53,1.666,12.008,13.356,4,No,1.245,4.544,5.476,3,-11,1.07,6.889,7.725,3,-27,1.551,10.355,10.823,12,16,1.366,5.246,6.164,3,-21,4.052,5.819,6.359,3,No,1.978,3.577,4.191,3,22,1.139,3.705,4.371,3,-15,1.004,2.675,3.752,3,36,1.022,2.687,3.713,3,-13,1.068,3.384,4.063,3,No,1.312,1.921,3.484,2,13,0.839,3.855,4.835,4,-24,1.132,3.644,4.674,3,12,1.059,2.659,3.436,3,-12,1.49,3.437,4.474,3,-83,1.417,4.73,5.702,3,No,1.117,1.662,2.652,2,12,1.109,5.835,6.47,4,-18,1.289,7.083,7.511,9,11,1.368,3.927,4.919,3,-18,1.409,4.173,4.841,3,No,1.509,4.209,4.851,3,32,1.17,4.477,7.587,3,-6,1.22,4.315,5.343,3,26,1.359,4.954,5.79,3,9,1.624,4.068,4.693,3,-78,1.268,9.203,10.212,3,No,1.211,3.242,3.786,3,35,Male,White,Oklahoma,73034,4-year degree (Bachelor's),"Less than $10,000",positive,No,2.122,8.229,11.083,8,6,0.5,1,414594,-53,-83,-78,"You have answered all of the attention check questions correctly. Therefore, you will receive a bonus!",TRUE,TRUE,TRUE,TRUE,1.5,A1DL8I2TKBHO5A,31MCUE39BKULBSI8LF7KPJ05QRUG3J,3KIBXJ1WD62IMN46K6HTZYMVFFZKO9,Sophia,<center> <b> End of Survey </b></center>,TRUE,No
